"country","continent","gdpPercap","lifeExp","pop"
"Trinidad and Tobago","North America",21543540.0,10323.0,1051127126
"Tunisia","Africa",8234616.0,7948.0,9059244876
"Turkey","Asia",18897264.0,15480.0,63952137472
"Turkmenistan","Asia",3113914.0,105.0,1162407270
"Tuvalu","Oceania",639944.0,146.0,2134575
"Uganda","Africa",1259699.0,56.0,34965661486
"Ukraine","Europe",5999739.0,4420.0,33034784720
"United Arab Emirates","Asia",53431026.0,14846.0,7932919902
"United Kingdom","Europe",31484569.0,20717.0,54020034288
"United States","North America",43434582.0,20205.0,266664974274
"Uruguay","South America",15413557.0,22398.0,2613864000
"Uzbekistan","Asia",4677322.0,553.0,25383952220
"Vanuatu","Oceania",1484330.0,229.0,159747712
"Venezuela","South America",12542021.0,547.0,21500005303
"Vietnam","Asia",4937507.0,2763.0,78535063200
"Yemen","Asia",1067944.0,12.0,22014241358
"Zambia","Africa",2748492.0,666.0,14095889465
"Zimbabwe","Africa",1411533.0,4440.0,11213483053
