Country,Continent,Gdp Per Capita,People Fully Vaccinated Per Hundred,Population
Myanmar,Asia,"4,115,415.00",843.00,"40,337,226,304.00"
Namibia,Africa,"7,146,814.00",330.00,"1,937,920,656.00"
Nauru,Oceania,"4,487,681.00",380.00,"3,783,804.00"
Nepal,Asia,"1,949,358.00","3,764.00","23,680,586,160.00"
Netherlands,Europe,"37,081,497.00","2,793.00","13,137,416,910.00"
New Caledonia,Oceania,,"1,886.00","214,433,448.00"
New Zealand,Oceania,"27,569,584.00","14,902.00","3,916,493,200.00"
Nicaragua,North America,"3,959,154.00","1,054.00","4,986,569,976.00"
Niger,Africa,"688,018.00",38.00,"18,672,191,830.00"
Nigeria,Africa,"4,078,579.00",96.00,"161,510,137,856.00"
Niue,Oceania,,241.00,"429,324.00"
North Macedonia,Europe,"10,043,190.00","2,695.00","1,595,318,326.00"
Northern Cyprus,Asia,,720.00,
Norway,Europe,"49,701,644.00","18,673.00","4,192,137,443.00"
Oman,Asia,"29,153,825.00","1,021.00","4,011,552,768.00"
Pakistan,Asia,"3,861,621.00","2,821.00","172,728,345,543.00"
Palau,Oceania,"2,952,610.00",,"4,052,802.00"
Palestine,Asia,"3,373,023.00",572.00,"3,958,849,048.00"
Panama,North America,"16,789,346.00","2,372.00","3,303,713,582.00"
Papua New Guinea,Oceania,"2,840,633.00",44.00,"6,775,420,715.00"
Paraguay,South America,"6,673,220.00","1,921.00","5,458,048,596.00"
Peru,South America,"9,263,186.00","13,292.00","25,253,077,155.00"
Philippines,Asia,"6,026,156.00","3,395.00","88,060,199,630.00"
Pitcairn,Oceania,,240.00,"3,995.00"
Poland,Europe,"20,657,282.00","13,407.00","28,687,923,000.00"
Portugal,Europe,"21,287,915.00","16,105.00","7,747,957,326.00"
Puerto Rico,North America,"26,598,905.00",,"2,146,638,714.00"
Qatar,Asia,"89,221,863.00","6,260.00","2,235,989,812.00"
Romania,Europe,"17,857,910.00","10,879.00","14,651,873,352.00"
Russia,Europe,"19,614,636.00","8,360.00","115,562,321,424.00"
Rwanda,Africa,"1,388,804.00",494.00,"9,944,111,233.00"
Saint Helena,Africa,,76.00,"3,486,340.00"
Saint Kitts and Nevis,North America,"18,194,936.00","2,352.00","39,516,948.00"
Saint Lucia,North America,"9,700,927.00","3,009.00","138,116,349.00"
Saint Pierre and Miquelon,North America,,,"4,195,517.00"
Saint Vincent and the Grenadines,North America,"8,034,632.00","1,470.00","83,340,481.00"
Samoa,Oceania,"3,010,779.00",966.00,"100,072,000.00"
San Marino,Europe,"43,385,302.00","2,037.00","25,949,630.00"
Sao Tome and Principe,Africa,"2,216,270.00",353.00,"162,162,264.00"
Saudi Arabia,Asia,"37,323,558.00","12,213.00","26,894,257,480.00"
Senegal,Africa,"1,887,523.00",101.00,"13,137,979,312.00"
Serbia,Europe,"10,761,443.00","6,733.00","5,263,605,002.00"
Seychelles,Africa,"19,733,951.00","3,338.00","73,984,680.00"
Sierra Leone,Africa,"1,017,700.00",87.00,"5,959,463,076.00"
Singapore,Asia,"68,428,306.00","23,829.00","4,362,880,000.00"
Sint Maarten (Dutch part),North America,"11,733,696.00","2,206.00","14,024,983.00"
Slovakia,Europe,"22,827,450.00","2,006.00","4,125,097,390.00"
Slovenia,Europe,"24,806,664.00","15,862.00","1,642,191,170.00"
Solomon Islands,Oceania,"1,184,581.00",185.00,"378,045,315.00"
Somalia,Africa,,91.00,"12,220,546,500.00"
South Africa,Africa,"9,651,478.00","3,512.00","47,132,966,860.00"
South Korea,Asia,"28,786,638.00","17,182.00","41,095,452,384.00"
South Sudan,Africa,"1,141,309.00",30.00,"8,274,261,079.00"
Spain,Europe,"27,109,437.00","14,070.00","36,975,461,901.00"
Sri Lanka,Asia,"9,288,585.00","12,229.00","17,111,855,576.00"
Sudan,Africa,"3,349,880.00",34.00,"33,682,013,250.00"
Suriname,South America,"10,311,572.00","4,611.00","443,256,702.00"
Sweden,Europe,"37,136,883.00","2,922.00","8,036,685,769.00"
Switzerland,Europe,"44,033,597.00","18,523.00","6,684,783,898.00"
Syria,Asia,,83.00,"13,542,296,664.00"
Taiwan,Asia,,"8,321.00","19,250,991,456.00"
Tajikistan,Asia,"2,030,736.00",685.00,"6,834,487,125.00"
