Country,Continent,Gdp Per Capita,People Fully Vaccinated Per Hundred,Population
South Korea,Asia,"28,786,638","17,182","41,095,452,384"
South Sudan,Africa,"1,141,309",30,"8,274,261,079"
Spain,Europe,"27,109,437","14,070","36,975,461,901"
Sri Lanka,Asia,"9,288,585","12,229","17,111,855,576"
Sudan,Africa,"3,349,880",34,"33,682,013,250"
Suriname,South America,"10,311,572","4,611","443,256,702"
Sweden,Europe,"37,136,883","2,922","8,036,685,769"
Switzerland,Europe,"44,033,597","18,523","6,684,783,898"
Syria,Asia,,83,"13,542,296,664"
Taiwan,Asia,,"8,321","19,250,991,456"
Tajikistan,Asia,"2,030,736",685,"6,834,487,125"
Tanzania,Africa,"2,004,428",30,"45,939,333,186"
Thailand,Asia,"13,331,413","11,601","57,289,741,236"
Timor,Asia,"4,868,446",926,"995,811,375"
Togo,Africa,"1,085,228",185,"6,434,985,678"
Tokelau,Oceania,,71,"155,952"
Tonga,Oceania,"1,882,690",757,"37,045,373"
Trinidad and Tobago,North America,"21,543,540","10,323","1,051,127,126"
Tunisia,Africa,"8,234,616","7,948","9,059,244,876"
Turkey,Asia,"18,897,264","15,480","63,952,137,472"
Turkmenistan,Asia,"3,113,914",105,"1,162,407,270"
Turks and Caicos Islands,North America,,"1,152","28,831,110"
Tuvalu,Oceania,"639,944",146,"2,134,575"
Uganda,Africa,"1,259,699",56,"34,965,661,486"
Ukraine,Europe,"5,999,739","4,420","33,034,784,720"
United Arab Emirates,Asia,"53,431,026","14,846","7,932,919,902"
United Kingdom,Europe,"31,484,569","20,717","54,020,034,288"
United States,North America,"43,434,582","20,205","266,664,974,274"
Uruguay,South America,"15,413,557","22,398","2,613,864,000"
Uzbekistan,Asia,"4,677,322",553,"25,383,952,220"
Vanuatu,Oceania,"1,484,330",229,"159,747,712"
Vatican,Europe,,,"614,684"
Venezuela,South America,"12,542,021",547,"21,500,005,303"
Vietnam,Asia,"4,937,507","2,763","78,535,063,200"
Wallis and Futuna,Oceania,,"1,449","5,879,820"
Yemen,Asia,"1,067,944",12,"22,014,241,358"
Zambia,Africa,"2,748,492",666,"14,095,889,465"
Zimbabwe,Africa,"1,411,533","4,440","11,213,483,053"
